time_days,chamber,Bottom,Top,bottom_minus_top_mbar
0.0,19,0.0,0.0,0.0
0.0,50,0.0,0.0,0.0
0.02083333333,19,0.07761145903498345,1.3314803945199856,-1.2538689354850021
0.02083333333,50,3.364881342363257,0.14450214336000045,3.2203791990032564
0.04166666667,19,5.290936059374985,58.67073060456331,-53.379794545188325
0.04166666667,50,29.598683103279956,4.786238696626659,24.8124444066533
0.0625,19,4.372488226674989,12.708545610836685,-8.336057384161697
0.0625,50,14.454867699666616,3.9126903525033185,10.542177347163298
0.08333333333,19,2.2527190170799827,36.58502777286329,-34.33230875578331
0.08333333333,50,14.825992134083245,2.9543704535766437,11.871621680506601
0.1041666667,19,0.0,0.0,0.0
0.1041666667,50,0.0,0.0,0.0
0.125,19,0.07761145903498345,1.3314803945199856,-1.2538689354850021
0.125,50,3.364881342363257,0.14450214336000045,3.2203791990032564
0.1458333333,19,3.469061094224969,-0.17911991251666373,3.6481810067416327
0.1458333333,50,5.659515501993307,2.243217018136685,3.416298483856622
0.1666666667,19,4.372488226674989,12.708545610836685,-8.336057384161697
0.1666666667,50,14.454867699666616,3.9126903525033185,10.542177347163298
0.1875,19,2.2527190170799827,36.58502777286329,-34.33230875578331
0.1875,50,14.825992134083245,2.9543704535766437,11.871621680506601
0.2083333333,19,20.129779826225047,38.535578437446624,-18.405798611221577
0.2083333333,50,34.95523236819664,3.3538566529000113,31.60137571529663
0.2291666667,19,38.01553804016493,29.932252800876615,8.083285239288312
0.2291666667,50,39.45776500937999,26.162504040926667,13.295260968453324
0.25,19,43.23659517140999,29.16389508223339,14.072700089176596
0.25,50,40.96327517085331,25.71324555694336,15.250029613909948
0.2708333333,19,49.83666089012996,28.834522893863323,21.00213799626664
0.2708333333,50,43.00093595215333,23.653522368533345,19.347413583619982
0.2916666667,19,49.07299910699504,28.748961813443277,20.324037293551765
0.2916666667,50,42.15699329859001,22.88566243213332,19.27133086645669
0.3125,19,47.37409100270503,28.82931451122666,18.54477649147837
0.3125,50,41.81101557337998,22.66852476216665,19.14249081121333
0.3333333333,19,47.58890449035499,29.153497479396645,18.435407010958347
0.3333333333,50,41.669212139669945,21.96457982514327,19.704632314526673
0.3541666667,19,47.92748959555996,29.56121191235661,18.36627768320335
0.3541666667,50,41.616950667033244,23.26434160834333,18.352609058689914
0.375,19,48.249355342429965,30.11857500469,18.130780337739964
0.375,50,41.7201730940233,32.920678248470004,8.799494845553298
0.3958333333,19,48.836144767929966,30.499567673536678,18.336577094393288
0.3958333333,50,42.05296624846668,32.05758373295669,9.995382515509995
0.4166666667,19,49.38997490196499,30.845688432996667,18.544286468968323
0.4166666667,50,42.412558559996604,30.36221048083337,12.050348079163236
0.4375,19,49.919054457524965,31.3431213796667,18.575933077858263
0.4375,50,42.63522351203994,30.04179002137664,12.593433490663301
0.4583333333,19,50.1912268055799,32.03529807460669,18.15592873097321
0.4583333333,50,43.125619668183354,29.91407443400995,13.211545234173403
0.4791666667,19,50.68736491373494,32.437877370619994,18.249487543114945
0.4791666667,50,43.525767152819945,29.996144287656648,13.529622865163297
0.5,19,51.22508200703504,32.984934552783365,18.240147454251677
0.5,50,43.98281855253659,30.135111915596667,13.847706636939925
0.5208333333,19,52.036893754999994,33.3249101282366,18.71198362676339
0.5208333333,50,44.63696051039327,30.30740940158334,14.329551108809934
0.5416666667,19,52.52542051207996,34.00494506351341,18.52047544856655
0.5416666667,50,45.00541191111328,30.82443132558664,14.180980585526637
0.5625,19,53.11377020269498,34.20758931602662,18.90618088666836
0.5625,50,45.473302761056594,31.307852768020023,14.165449993036571
0.5833333333,19,53.444698251745024,34.84795999415663,18.59673825758839
0.5833333333,50,45.92046212505333,31.625488422330022,14.294973702723304
0.6041666667,19,54.249486692920016,35.4461455061033,18.803341186816716
0.6041666667,50,46.53232464765995,32.24511602083661,14.287208626823336
0.625,19,54.80528840099004,36.057908152546666,18.74738024844337
0.625,50,46.88911557348323,32.611708811616644,14.277406761866587
0.6458333333,19,55.48623132714994,36.47437073814998,19.01186058899996
0.6458333333,50,47.51122015408324,33.28676413921331,14.22445601486993
0.6666666667,19,56.158888476775076,37.135522514769946,19.02336596200513
0.6666666667,50,48.025732779336636,33.70051845070335,14.325214328633287
0.6875,19,56.95675544310001,37.63576246345997,19.32099297964004
0.6875,50,48.71670684868328,34.35508492083337,14.36162192784991
0.7083333333,19,57.58873427871498,37.85929577481329,19.72943850390169
0.7083333333,50,49.039049032586604,34.83454035487326,14.204508677713342
0.7291666667,19,57.97074723336499,38.23186040779001,19.73888682557498
0.7291666667,50,49.384260287736616,35.280534623170034,14.103725664566582
0.75,19,58.60308361638505,38.62670309274328,19.976380523641772
0.75,50,49.629739210699995,35.64216002729332,13.987579183406673
0.7708333333,19,59.21897987377503,38.92448956293674,20.294490310838285
0.7708333333,50,50.033019715109994,36.169083164206654,13.86393655090334
0.7916666667,19,59.426437933519935,39.29727858603337,20.129159347486564
0.7916666667,50,50.45792985812337,36.59726193389994,13.860667924223435
0.8125,19,60.02597163343495,39.492945337376646,20.533026296058303
0.8125,50,50.79225716046324,36.86261733086004,13.929639829603197
0.8333333333,19,60.500518071609974,39.66704909170335,20.833468979906627
0.8333333333,50,50.93934813474997,37.34520629202996,13.594141842720013
0.8541666667,19,60.90871676245507,40.02479451168332,20.883922250771754
0.8541666667,50,51.341868289926616,37.8442001072566,13.497668182670019
0.875,19,61.09170113339002,40.29378544852997,20.79791568486005
0.875,50,51.57658571600992,38.21900132088668,13.35758439512324
0.8958333333,19,61.67515300856502,40.64582548645998,21.029327522105042
0.8958333333,50,51.712288765353264,38.43709513284,13.275193632513265
0.9166666667,19,62.108284880795,40.89903885393998,21.20924602685502
0.9166666667,50,52.12551213967,38.78138409009667,13.344128049573328
0.9375,19,62.43330718295505,41.036349105996656,21.39695807695839
0.9375,50,52.44129975993,39.04700054898001,13.394299210949988
0.9583333333,19,62.84999544291503,41.452424277183354,21.397571165731677
0.9583333333,50,52.655112636216664,39.400308094109995,13.254804542106669
0.9791666667,19,63.28384662468005,41.79712468239669,21.48672194228336
0.9791666667,50,52.967007895909965,39.764863342049956,13.202144553860009
1.0,19,63.70928409458003,42.12030174298669,21.588982351593337
