sensor,position,first_day,last_day,initial_temp_degC,max_temp_degC,plateau_estimate_degC,time_to_90_percent_plateau_days,time_to_95_percent_plateau_days,first_time_within_1C_of_plateau_days,tau_from_t90_days,tau_from_t95_days
V26,Top,0.0,4.350694444,27.4,48.8,48.67036011080332,2.170138889,2.765972222,2.765972222,0.9424793444563534,0.9233042105990951
V62,Top,0.006944444444,15.0,27.9,47.7,47.61894517696046,2.867361111556,3.4208333335559997,3.4208333335559997,1.245279108372745,1.1419022199529498
V27,Bottom,0.0,15.0,27.5,45.0,44.97009021512838,4.268055556,5.084027778,4.961805556,1.8535929764273154,1.6970901648592773
V64,Bottom,0.006944444444,15.0,28.3,47.6,47.54267869535045,3.725694444556,4.727777777556001,4.727777777556001,1.6180485385282715,1.5781709932133539
