removed_sensor,removed_position,removed_chamber,n_remaining,position_F,position_p,bottom_minus_top_estimate_mbar,ci95_low_mbar,ci95_high_mbar
V50,Top,50,10,6.920296147696614,0.033899726853865775,20.066692693102503,2.029408624507383,38.10397676169762
V53,Top,50,10,6.402035898732141,0.03923827389876289,18.78411559650494,1.2295783759704157,36.33865281703946
V71,Top,50,10,12.70483157045014,0.009191140463988168,23.677018523669975,7.969765373982648,39.384271673357304
V51,Bottom,19,10,5.525312302950737,0.05105942527242491,17.303811859731088,-0.10307291689677456,34.710696636358946
V59,Bottom,19,10,7.5405669044331125,0.028688265759101328,21.468637889287766,2.9819045306398735,39.95537124793566
V52,Bottom,50,10,6.362341706076399,0.03969109604151855,18.56040604074833,1.1609102618109972,35.95990181968566
V56,Bottom,50,10,33.08330196293982,0.0007384748641502403,25.805567712788267,15.196757536878255,36.41437788869828
V70,Bottom,50,10,6.331231294260774,0.04005077474564056,18.161853059740757,1.09420208699769,35.229504032483824
V55,Top,19,10,6.929107920714943,0.03381740804520761,19.332793883051956,1.9662401971110448,36.69934756899286
V57,Top,19,10,6.951370965335354,0.03361058578318066,19.428284301463975,2.00392160727786,36.85264699565009
V58,Top,19,10,8.16423866269244,0.024451889124376458,21.145257314911973,3.646274133373762,38.64424049645018
