response,contrast,estimate_mbar,ci95_low_mbar,ci95_high_mbar,df
response,bottom_minus_top,14.391214411622535,-4.140368558678073,32.92279738192315,8
response,nominal_50_minus_19,3.6226188161012995,-14.908964154199309,22.154201786401906,8
